#Alive { 9.99 { https://www.netflix.com/title/81240831 { TV-MA  { Korean Movies { Horror Movies { Critically-acclaimed Movies 
#AnneFrank - Parallel Stories { 9.99 { https://www.netflix.com/title/81264660 { TV-14  { Documentaries { Historical Documentaries { Social & Cultural Documentaries 
#FollowFriday { 9.99 { https://www.netflix.com/title/81519787 { TV-MA  { Suspenseful Movies 
#FriendButMarried 2 { 9.99 { https://www.netflix.com/title/81260637 { TV-G  { Romantic Dramas { Emotional Movies { Movies based on real life 
#FriendButMarried { 9.99 { https://www.netflix.com/title/81260630 { TV-G  { Romantic Dramas { Movies based on real life 
#Rucker50 { 9.99 { https://www.netflix.com/title/80147908 { TV-PG  { Historical Documentaries { Sports Documentaries { Social & Cultural Documentaries { Sports Movies 
#Selfie 69 { 9.99 { https://www.netflix.com/title/81092766 { TV-MA  { Comedies { Romantic Comedies { Romantic Dramas { Romantic Movies 
#Selfie { 9.99 { https://www.netflix.com/title/81092768 { TV-MA  { Teen Comedies { Teen Movies 
#blackAF { 9.99 { https://www.netflix.com/title/81056700 { TV-MA  { TV Shows { TV Comedies { Sitcoms 
#realityhigh { 9.99 { https://www.netflix.com/title/80125979 { TV-14  { Teen Comedies { Teen Movies { Witty Movies 
After Maria { 9.99 { https://www.netflix.com/title/81002195 { TV-PG  { Social & Cultural Documentaries 
After We Collided { 9.99 { https://www.netflix.com/title/81172914 { R  { Dramas { Romantic Dramas { Romantic Movies { Emotional Movies 
After We Fell { 9.99 { https://www.netflix.com/title/81397455 { R  { Dramas { Romantic Dramas { Romantic Movies { Emotional Movies 
After the Raid { 9.99 { https://www.netflix.com/title/80244681 { TV-PG  { Social & Cultural Documentaries 
After { 9.99 { https://www.netflix.com/title/80244311 { PG-13  { Dramas { Romantic Dramas { Romantic Movies { Teen Movies 
Afterlife of the Party { 9.99 { https://www.netflix.com/title/81095482 { TV-PG  { Comedies { Romantic Comedies { Romantic Movies { Sci-Fi & Fantasy { Fantasy Movies { Quirky Movies 
Aftermath { 9.99 { https://www.netflix.com/title/70155777 { TV-MA  { Horror Movies { Suspenseful Movies 
Agatha Christie's Crooked House { 9.99 { https://www.netflix.com/title/80224414 { PG-13  { Film Noir { Dramas { Thrillers { Mysteries { Cerebral Movies 
Age of Rebellion { 9.99 { https://www.netflix.com/title/81004113 { TV-MA  { Teen TV Shows 
Age of Samurai: Battle for Japan { 9.99 { https://www.netflix.com/title/80237990 { TV-MA  { Documentaries { Historical Documentaries { Social & Cultural Documentaries { TV Documentaries 
Age of Tanks { 9.99 { https://www.netflix.com/title/80208213 { TV-PG  { Documentaries { Historical Documentaries { Science & Nature Documentaries { TV Documentaries 
Aggretsuko { 9.99 { https://www.netflix.com/title/80198505 { TV-14  { Anime { Adult Animation { Anime Comedies { Anime Series { TV Shows 
Aggretsuko: We Wish You a Metal Christmas { 9.99 { https://www.netflix.com/title/81008536 { TV-PG  { Adult Animation { Anime Comedies 
Agneepath { 9.99 { https://www.netflix.com/title/235527 { TV-14  { Emotional Movies 
Agustín Aristarán: Soy Rada { 9.99 { https://www.netflix.com/title/80191555 { TV-MA  { Stand-up Comedy 
Agyaat { 9.99 { https://www.netflix.com/title/70123116 { TV-14  { Monster Movies 
Ahaan { 9.99 { https://www.netflix.com/title/81438083 { TV-MA  { Independent Movies 
Aileen Wuornos: American Boogeywoman { 9.99 { https://www.netflix.com/title/81555665 { TV-MA  { Dramas { Thrillers 
Ainori Love Wagon: African Journey { 9.99 { https://www.netflix.com/title/81038696 { TV-14  { Reality TV 
Ainori Love Wagon: Asian Journey { 9.99 { https://www.netflix.com/title/80174280 { TV-MA  { Reality TV 
Air Strike { 9.99 { https://www.netflix.com/title/81031742 { R  { Action & Adventure { Asian Action Movies { Military Action & Adventure { Dramas { Emotional Movies { War Movies 
Airplane Mode { 9.99 { https://www.netflix.com/title/81056195 { TV-PG  { Comedies { Romantic Comedies { Romantic Movies { Brazilian Movies { Emotional Movies 
Aiyaary { 9.99 { https://www.netflix.com/title/80243408 { TV-MA  { Spy Action & Adventure { Spy Movies 
Aiyyaa { 9.99 { https://www.netflix.com/title/70261058 { TV-14  { Romantic Comedies { Quirky Movies 
Ajab Prem Ki Ghazab Kahani { 9.99 { https://www.netflix.com/title/70128217 { TV-14  { Romantic Comedies { Romantic Movies { Goofy Movies 
Ajeeb Daastaans { 9.99 { https://www.netflix.com/title/81206929 { TV-MA  { Romantic Dramas { Independent Movies { Romantic Movies { Emotional Movies 
Akbar Birbal { 9.99 { https://www.netflix.com/title/81245348 { TV-G  { TV Cartoons 
Al acecho { 9.99 { https://www.netflix.com/title/81324340 { TV-MA  { Thrillers { Gritty Movies 
AlRawabi School for Girls { 9.99 { https://www.netflix.com/title/81034661 { TV-14  { TV Dramas { Teen TV Shows 
Ala Vaikunthapurramuloo { 9.99 { https://www.netflix.com/title/81252029 { TV-14  { Action & Adventure { Action Comedies { Comedies { Romantic Comedies { Dramas { Romantic Dramas { Romantic Movies { Romantic Favorites { Emotional Movies 
Alan Saldaña: Locked Up { 9.99 { https://www.netflix.com/title/81321625 { TV-MA  { Stand-up Comedy 
Alan Saldaña: Mi vida de pobre { 9.99 { https://www.netflix.com/title/80124724 { TV-MA  { Stand-up Comedy 
Alaska Is a Drag { 9.99 { https://www.netflix.com/title/81399490 { TV-MA  { Dramas { Gay & Lesbian Dramas { Gay & Lesbian Movies 
Albert Pinto Ko Gussa Kyun Aata Hai? { 9.99 { https://www.netflix.com/title/81161834 { TV-MA  { Independent Movies { Psychological Thrillers { Cerebral Movies 
Alejandro Riaño: Especial de stand up { 9.99 { https://www.netflix.com/title/80192136 { TV-MA  { Stand-up Comedy 
Alelí { 9.99 { https://www.netflix.com/title/81228263 { TV-MA  { Quirky Movies 
Alex Fernández: The Best Comedian in the World { 9.99 { https://www.netflix.com/title/81121981 { TV-MA  { Stand-up Comedy 
Alex Strangelove { 9.99 { https://www.netflix.com/title/80168189 { TV-MA  { Teen Comedies { Romantic Comedies { Dramas { Gay & Lesbian Dramas { Romantic Dramas { Gay & Lesbian Movies { Gay & Lesbian Comedies { Independent Movies { Romantic Movies { Romantic Favorites { Critically-acclaimed Movies { Teen Movies { Witty Movies 
Alexa & Katie { 9.99 { https://www.netflix.com/title/80174285 { TV-G  { Kids' TV { TV Shows { TV Comedies { Sitcoms 
Alexandria ... Why? { 9.99 { https://www.netflix.com/title/60001801 { TV-MA  { Classic Movies 
Alexandria: Again and Forever { 9.99 { https://www.netflix.com/title/60001803 { TV-MA  { Classic Movies { Dramas { Gay & Lesbian Dramas { Romantic Dramas { Gay & Lesbian Movies { Romantic Movies { Romantic Favorites { Cerebral Movies { Critically-acclaimed Movies 
Alexis Viera: A Story of Surviving { 9.99 { https://www.netflix.com/title/81033107 { TV-MA  { Biographical Documentaries { Sports Documentaries { Sports Movies 
Ali & Ratu Ratu Queens { 9.99 { https://www.netflix.com/title/81260949 { TV-14  { Emotional Movies 
Ali Baba and the Seven Dwarfs { 9.99 { https://www.netflix.com/title/80231064 { TV-MA  { Action Comedies { Adventures { Goofy Movies 
Ali Wong: Baby Cobra { 9.99 { https://www.netflix.com/title/80101493 { TV-MA  { Comedies { Stand-up Comedy 
Ali Wong: Don Wong { 9.99 { https://www.netflix.com/title/81140667 { TV-MA  { Comedies { Stand-up Comedy 
Ali Wong: Hard Knock Wife { 9.99 { https://www.netflix.com/title/80186940 { TV-MA  { Comedies { Stand-up Comedy 
Ali { 9.99 { https://www.netflix.com/title/60021792 { R  { Dramas { Sports Movies { Movies based on real life 
Ali's Wedding { 9.99 { https://www.netflix.com/title/80244709 { TV-MA  { Romantic Comedies { Independent Movies { Romantic Movies { Romantic Favorites { Critically-acclaimed Movies { Emotional Movies { Movies based on real life 
Alias Grace { 9.99 { https://www.netflix.com/title/80119411 { TV-MA  { Period Pieces { TV Shows { Crime TV Shows { TV Dramas 
Alias JJ, la celebridad del mal { 9.99 { https://www.netflix.com/title/80203742 { TV-MA  { Gangster Movies 
Alibaba Aur 40 Chor { 9.99 { https://www.netflix.com/title/80158543 { TV-14  { Adventures { Sci-Fi & Fantasy { Action Sci-Fi & Fantasy { Fantasy Movies 
Alice Junior { 9.99 { https://www.netflix.com/title/81196768 { TV-MA  { Teen Comedies { Gay & Lesbian Movies { Gay & Lesbian Comedies { Brazilian Movies { Teen Movies 
Alice in Borderland { 9.99 { https://www.netflix.com/title/80200575 { TV-MA  { TV Shows { TV Action & Adventure { TV Sci-Fi & Fantasy 
Alien TV { 9.99 { https://www.netflix.com/title/81003682 { TV-Y7  { TV Cartoons { Kids' TV { TV Comedies { Animation 
Alien Warfare { 9.99 { https://www.netflix.com/title/80232502 { TV-MA  { Sci-Fi & Fantasy { Action Sci-Fi & Fantasy { Alien Sci-Fi 
Alien Worlds { 9.99 { https://www.netflix.com/title/80221410 { TV-PG  { Documentaries { Science & Nature Documentaries { Alien Sci-Fi { British TV Shows { TV Documentaries { TV Sci-Fi & Fantasy 
Alien Xmas { 9.99 { https://www.netflix.com/title/80226040 { TV-Y  { Children & Family Movies { Family Features { Animation { Children & Family 
Aliens Stole My Body { 9.99 { https://www.netflix.com/title/81438335 { PG  { Sci-Fi & Fantasy 
All About Love { 9.99 { https://www.netflix.com/title/80189208 { TV-MA  { TV Dramas { TV Horror 
All About the Washingtons { 9.99 { https://www.netflix.com/title/80211884 { TV-PG  { Sitcoms 
All American { 9.99 { https://www.netflix.com/title/81012998 { TV-14  { TV Shows { TV Dramas { Teen TV Shows 
All Because of You { 9.99 { https://www.netflix.com/title/81272069 { TV-PG  { Action & Adventure { Asian Action Movies { Action Comedies { Comedies { Romantic Comedies { Romantic Movies { Goofy Movies 
All Day and a Night { 9.99 { https://www.netflix.com/title/80226923 { R  { Dramas { Independent Movies { Gritty Movies 
All For Love { 9.99 { https://www.netflix.com/title/81144163 { TV-MA  { TV Shows { TV Dramas 
All Hail King Julien { 9.99 { https://www.netflix.com/title/80018987 { TV-Y7  { TV Cartoons { Kids' TV { TV Shows { TV Comedies { Animation 
All Hail King Julien: Exiled { 9.99 { https://www.netflix.com/title/80174364 { TV-Y7  { TV Cartoons { Kids' TV { Animal Tales { TV Comedies { Animation 
All In My Family { 9.99 { https://www.netflix.com/title/80208662 { TV-14  { Social & Cultural Documentaries { Gay & Lesbian Movies { Gay & Lesbian Documentaries 
All Is Well { 9.99 { https://www.netflix.com/title/81030855 { TV-MA  { Cerebral Movies 
All My Friends Are Dead { 9.99 { https://www.netflix.com/title/81230915 { TV-MA  { Comedies { Dark Comedies { Teen Comedies { Teen Movies 
All The Bright Places { 9.99 { https://www.netflix.com/title/80208802 { TV-MA  { Dramas { Romantic Dramas { Romantic Movies { Emotional Movies { Teen Movies 
All Together Now { 9.99 { https://www.netflix.com/title/80237870 { PG  { Emotional Movies { Teen Movies 
All of Us Are Dead { 9.99 { https://www.netflix.com/title/81237994 { TV-MA  { TV Shows { TV Dramas { TV Horror { Teen TV Shows 
All the Freckles in the World { 9.99 { https://www.netflix.com/title/81006825 { TV-14  { Teen Comedies { Romantic Comedies { Romantic Movies { Sports Movies { Quirky Movies { Teen Movies 
All the Reasons to Forget { 9.99 { https://www.netflix.com/title/80187301 { TV-MA  { Romantic Comedies { Brazilian Movies { Quirky Movies 
All's Well, End's Well (2009) { 9.99 { https://www.netflix.com/title/81029831 { TV-14  { Romantic Comedies { Romantic Movies { Goofy Movies { Quirky Movies 
AllI Wish { 9.99 { https://www.netflix.com/title/80242719 { R  { Romantic Dramas { Emotional Movies 
Almost Happy { 9.99 { https://www.netflix.com/title/80225954 { TV-MA  { TV Comedies 
Almost Love { 9.99 { https://www.netflix.com/title/81232369 { TV-MA  { Romantic Comedies { Dramas { Gay & Lesbian Dramas { Romantic Dramas { Gay & Lesbian Movies { Gay & Lesbian Comedies { Independent Movies { Romantic Movies 
Alone { 9.99 { https://www.netflix.com/title/81271131 { TV-14  { TV Shows { Reality TV 
Alone/Together { 9.99 { https://www.netflix.com/title/81334879 { TV-14  { Romantic Dramas { Romantic Movies { Emotional Movies 
Alpha and Omega { 9.99 { https://www.netflix.com/title/70109894 { PG  { Children & Family Movies { Family Features { Animal Tales { Comedies { Animation { Children & Family { Goofy Movies 
Altered Carbon { 9.99 { https://www.netflix.com/title/80097140 { TV-MA  { TV Shows { Crime TV Shows { TV Action & Adventure { TV Dramas { TV Sci-Fi & Fantasy 
Altered Carbon: Resleeved { 9.99 { https://www.netflix.com/title/81001991 { TV-MA  { Action & Adventure { Action Thrillers { Anime { Anime Action { Anime Features { Anime Sci-Fi { Sci-Fi & Fantasy { Action Sci-Fi & Fantasy { Imaginative Movies 
Always Be My Maybe { 9.99 { https://www.netflix.com/title/80100170 { TV-14  { Romantic Movies { Emotional Movies 
Always Be My Maybe { 9.99 { https://www.netflix.com/title/80202874 { PG-13  { Comedies { Romantic Comedies { Romantic Movies { Romantic Favorites { Critically-acclaimed Movies { Witty Movies 
Always a Witch { 9.99 { https://www.netflix.com/title/80205595 { TV-14  { TV Comedies { TV Dramas { TV Sci-Fi & Fantasy { Teen TV Shows 
Amanda Knox { 9.99 { https://www.netflix.com/title/80081155 { TV-MA  { Documentaries { Critically-acclaimed Movies 
Amandla { 9.99 { https://www.netflix.com/title/81488776 { TV-MA  { Dramas { Gritty Movies 
Amar { 9.99 { https://www.netflix.com/title/80113589 { TV-MA  { Romantic Dramas { Romantic Movies 
Amateur { 9.99 { https://www.netflix.com/title/80096984 { TV-MA  { Dramas { Independent Movies { Sports Movies { Emotional Movies { Gritty Movies { Teen Movies 
Amazing Interiors { 9.99 { https://www.netflix.com/title/80184067 { TV-PG  { British TV Shows { Reality TV 
Amelia: A Tale of Two Sisters { 9.99 { https://www.netflix.com/title/80158580 { TV-PG  { Biographical Documentaries { Historical Documentaries { Science & Nature Documentaries 
Amend: The Fight for America { 9.99 { https://www.netflix.com/title/80219054 { TV-MA  { Documentaries { Historical Documentaries { Social & Cultural Documentaries { Gay & Lesbian Documentaries { TV Documentaries 
America's Next Top Model { 9.99 { https://www.netflix.com/title/70258519 { TV-14  { TV Shows { Reality TV 
America: The Motion Picture { 9.99 { https://www.netflix.com/title/80189631 { TV-MA  { Action & Adventure { Action Comedies { Adult Animation { Comedies { Animation { Goofy Movies 
American Factory { 9.99 { https://www.netflix.com/title/81090071 { TV-14  { Documentaries { Social & Cultural Documentaries { Critically-acclaimed Movies 
American Masters: Inventing David Geffen { 9.99 { https://www.netflix.com/title/70260303 { TV-MA  { Biographical Documentaries { TV Documentaries 
American Murder: The Family Next Door { 9.99 { https://www.netflix.com/title/81130130 { TV-MA  { Documentaries { Critically-acclaimed Movies { Emotional Movies 
American Pie: Girls' Rules { 9.99 { https://www.netflix.com/title/81053964 { R  { Comedies { Teen Comedies { Teen Movies 
American Ultra { 9.99 { https://www.netflix.com/title/80053615 { R  { Action & Adventure { Action Comedies { Comedies 
American Vandal { 9.99 { https://www.netflix.com/title/80117545 { TV-MA  { Crime TV Shows { TV Comedies { Teen TV Shows 
American Woman { 9.99 { https://www.netflix.com/title/81096163 { TV-MA  { Independent Movies { Cerebral Movies 
Amina { 9.99 { https://www.netflix.com/title/81450071 { TV-14  { Action & Adventure { Dramas { Period Pieces { Emotional Movies { Movies based on real life 
Amit Tandon: Family Tandoncies { 9.99 { https://www.netflix.com/title/81094382 { TV-14  { Stand-up Comedy 
Among Family { 9.99 { https://www.netflix.com/title/81043345 { TV-14  { Quirky Movies 
Amsterdam to Anatolia { 9.99 { https://www.netflix.com/title/81520454 { TV-PG  { Romantic Dramas { Independent Movies { Romantic Movies 
Amy Schumer Growing { 9.99 { https://www.netflix.com/title/81037077 { TV-MA  { Comedies { Stand-up Comedy 
Amy Schumer: The Leather Special { 9.99 { https://www.netflix.com/title/80150002 { TV-MA  { Stand-up Comedy 
Amy Tan: Unintended Memoir { 9.99 { https://www.netflix.com/title/81436586 { TV-14  { Biographical Documentaries { Social & Cultural Documentaries 
An Astrological Guide for Broken Hearts { 9.99 { https://www.netflix.com/title/81279310 { TV-MA  { TV Comedies 
An Easy Girl { 9.99 { https://www.netflix.com/title/81081603 { TV-MA  { Comedies { Dramas { Art House Movies { Critically-acclaimed Movies 
An Egyptian Story { 9.99 { https://www.netflix.com/title/60001802 { TV-MA  { Classic Movies { Art House Movies { Cerebral Movies 
An Elf's Story: The Elf on the Shelf { 9.99 { https://www.netflix.com/title/81488519 { TV-Y  { Children & Family Movies { Family Features { Animation { Children & Family 
An Evening with Beverly Luff Linn { 9.99 { https://www.netflix.com/title/81002313 { R  { Independent Movies { Quirky Movies 
An Imperfect Murder { 9.99 { https://www.netflix.com/title/81341645 { R  { Art House Movies { Thrillers { Psychological Thrillers { Cerebral Movies 
An Unremarkable Christmas { 9.99 { https://www.netflix.com/title/81311782 { TV-14  { Teen Comedies { Teen Movies 
Ana e Vitória { 9.99 { https://www.netflix.com/title/81020531 { TV-MA  { Romantic Comedies { Gay & Lesbian Movies { Gay & Lesbian Comedies { Romantic Movies { Brazilian Movies { Emotional Movies { Movies based on real life 
Anaamika { 9.99 { https://www.netflix.com/title/81281412 { TV-14  { Thrillers { Mysteries 
Anaconda { 9.99 { https://www.netflix.com/title/1153328 { PG-13  { Action & Adventure { Adventures { Horror Movies 
Anbe Sivam { 9.99 { https://www.netflix.com/title/70076024 { TV-14  { Classic Movies { Classic Comedies { Quirky Movies 
And Breathe Normally { 9.99 { https://www.netflix.com/title/80998427 { TV-14  { Art House Movies { Independent Movies { Critically-acclaimed Movies { Gritty Movies 
And Then Came Lola { 9.99 { https://www.netflix.com/title/70121094 { TV-MA  { Romantic Comedies { Gay & Lesbian Movies { Gay & Lesbian Comedies { Independent Movies { Romantic Movies { Steamy Romantic Movies { Quirky Movies 
And Tomorrow the Entire World { 9.99 { https://www.netflix.com/title/81392185 { TV-MA  { Thrillers { Cerebral Movies { Critically-acclaimed Movies { Gritty Movies 
Andaz Apna Apna { 9.99 { https://www.netflix.com/title/20258084 { TV-14  { Action & Adventure { Action Comedies { Comedies { Romantic Comedies { Romantic Movies { Goofy Movies 
Andhadhun { 9.99 { https://www.netflix.com/title/81039381 { TV-14  { Comedies { Dark Comedies { Dramas { Thrillers { Critically-acclaimed Movies 
Andhaghaaram { 9.99 { https://www.netflix.com/title/81318026 { TV-14  { Horror Movies { Thrillers { Suspenseful Movies 
Andhakaaram { 9.99 { https://www.netflix.com/title/81346073 { TV-14  { Horror Movies { Thrillers { Suspenseful Movies 
André & his olive tree { 9.99 { https://www.netflix.com/title/81342639 { TV-PG  { Biographical Documentaries { Social & Cultural Documentaries 
Anelka: Misunderstood { 9.99 { https://www.netflix.com/title/81015566 { TV-14  { Biographical Documentaries { Sports Documentaries { Sports Movies 
Angamaly Diaries { 9.99 { https://www.netflix.com/title/80182447 { TV-14  { Action & Adventure { Action Comedies { Comedies { Independent Movies { Critically-acclaimed Movies { Gritty Movies 
Angel 'N' Devil { 9.99 { https://www.netflix.com/title/81072852 { TV-14  { TV Action & Adventure { TV Sci-Fi & Fantasy { Teen TV Shows 
Angel Beats! { 9.99 { https://www.netflix.com/title/70201870 { TV-PG  { Anime { Anime Action { Anime Fantasy { Anime Series { TV Shows 
Angela's Christmas 2 { 9.99 { https://www.netflix.com/title/81151926 { TV-Y  { Children & Family Movies { Family Features { Animation { Children & Family 
Angela's Christmas { 9.99 { https://www.netflix.com/title/80230507 { TV-Y  { Children & Family Movies { Family Features { Animation { Children & Family 
Angeliena { 9.99 { https://www.netflix.com/title/81343009 { TV-MA  { Emotional Movies 
Angelina Ballerina { 9.99 { https://www.netflix.com/title/70205619 { TV-Y  { TV Cartoons { Kids' TV { Animal Tales { British TV Shows { Animation 
